date,rainfall_mm,runoff_mm,soil_moisture,rain_t1,rain_t2,runoff_t1,soil_t1
2018-01-03,0.0,0.077940002,12.52153036,0.0,6.759258313,0.080410004,12.52153036
2018-01-04,0.0,0.075549997,11.90956915,0.0,0.0,0.077940002,12.52153036
2018-01-05,0.0,0.073250003,11.90956915,0.0,0.0,0.075549997,11.90956915
2018-01-06,0.0,0.071039997,11.90956915,0.0,0.0,0.073250003,11.90956915
2018-01-07,0.0,0.06893,11.2972985,0.0,0.0,0.071039997,11.90956915
2018-01-08,0.0,0.066909999,11.2972985,0.0,0.0,0.06893,11.2972985
2018-01-09,1.570931595,0.064999998,11.2972985,0.0,0.0,0.066909999,11.2972985
2018-01-10,0.32016327,0.063300001,11.19062392,1.570931595,0.0,0.064999998,11.2972985
2018-01-11,0.495725611,0.06079,11.19062392,0.32016327,1.570931595,0.063300001,11.19062392
2018-01-12,0.0,0.0593175,11.19062392,0.495725611,0.32016327,0.06079,11.19062392
2018-01-13,0.0,0.057937499,9.892206116,0.0,0.495725611,0.0593175,11.19062392
2018-01-14,0.0,0.056615,9.892206116,0.0,0.0,0.057937499,9.892206116
2018-01-15,0.0,0.0553375,9.892206116,0.0,0.0,0.056615,9.892206116
2018-01-16,0.0,0.05410625,9.348231132,0.0,0.0,0.0553375,9.892206116
2018-01-17,0.0,0.05291875,9.348231132,0.0,0.0,0.05410625,9.348231132
2018-01-18,0.0,0.051775,9.348231132,0.0,0.0,0.05291875,9.348231132
2018-01-19,0.0,0.05067625,8.783215848,0.0,0.0,0.051775,9.348231132
2018-01-20,0.0,0.049625,8.783215848,0.0,0.0,0.05067625,8.783215848
2018-01-21,0.0,0.0486125,8.783215848,0.0,0.0,0.049625,8.783215848
2018-01-22,0.0,0.047642501,8.002046258,0.0,0.0,0.0486125,8.783215848
2018-01-23,0.0,0.046712499,8.002046258,0.0,0.0,0.047642501,8.002046258
2018-01-24,0.0,0.04582125,8.002046258,0.0,0.0,0.046712499,8.002046258
2018-01-25,0.0,0.0449675,7.393179589,0.0,0.0,0.04582125,8.002046258
2018-01-26,0.367159199,0.04415,7.393179589,0.0,0.0,0.0449675,7.393179589
2018-01-27,0.0,0.043366249,7.393179589,0.367159199,0.0,0.04415,7.393179589
2018-01-28,0.0,0.0426125,6.714213769,0.0,0.367159199,0.043366249,7.393179589
2018-01-29,0.0,0.04189125,6.714213769,0.0,0.0,0.0426125,6.714213769
2018-01-30,0.0,0.041199999,6.714213769,0.0,0.0,0.04189125,6.714213769
2018-01-31,0.0,0.0405325,6.714213769,0.0,0.0,0.041199999,6.714213769
2018-02-01,0.0,0.0398925,6.714213769,0.0,0.0,0.0405325,6.714213769
2018-02-02,0.0,0.03927625,6.714213769,0.0,0.0,0.0398925,6.714213769
2018-02-03,0.0,0.03868375,6.714213769,0.0,0.0,0.03927625,6.714213769
2018-02-04,0.0,0.03811125,6.714213769,0.0,0.0,0.03868375,6.714213769
2018-02-05,0.0,0.03755875,6.714213769,0.0,0.0,0.03811125,6.714213769
2018-02-06,0.0,0.03702625,6.714213769,0.0,0.0,0.03755875,6.714213769
2018-02-07,4.578734848,0.0377275,6.714213769,0.0,0.0,0.03702625,6.714213769
2018-02-08,0.0,0.036026249,6.714213769,4.578734848,0.0,0.0377275,6.714213769
2018-02-09,0.0,0.03561625,6.714213769,0.0,4.578734848,0.036026249,6.714213769
2018-02-10,0.0,0.03526375,6.714213769,0.0,0.0,0.03561625,6.714213769
2018-02-11,0.0,0.03493125,6.714213769,0.0,0.0,0.03526375,6.714213769
2018-02-12,0.0,0.03461125,6.714213769,0.0,0.0,0.03493125,6.714213769
2018-02-13,0.826261575,0.034285,6.714213769,0.0,0.0,0.03461125,6.714213769
2018-02-14,0.0,0.034035,6.714213769,0.826261575,0.0,0.034285,6.714213769
2018-02-15,0.743921754,0.03364125,6.714213769,0.0,0.826261575,0.034035,6.714213769
2018-02-16,0.0,0.03333,6.714213769,0.743921754,0.0,0.03364125,6.714213769
2018-02-17,0.0,0.03302875,6.714213769,0.0,0.743921754,0.03333,6.714213769
2018-02-18,0.0,0.0327275,6.714213769,0.0,0.0,0.03302875,6.714213769
2018-02-19,0.0,0.03242375,6.714213769,0.0,0.0,0.0327275,6.714213769
2018-02-20,0.0,0.0321175,6.714213769,0.0,0.0,0.03242375,6.714213769
2018-02-21,0.0,0.03181125,6.714213769,0.0,0.0,0.0321175,6.714213769
2018-02-22,0.0,0.0315025,6.714213769,0.0,0.0,0.03181125,6.714213769
2018-02-23,0.0,0.0311925,6.714213769,0.0,0.0,0.0315025,6.714213769
2018-02-24,0.0,0.03088375,6.714213769,0.0,0.0,0.0311925,6.714213769
2018-02-25,0.0,0.03057625,6.714213769,0.0,0.0,0.03088375,6.714213769
2018-02-26,0.0,0.03027375,6.714213769,0.0,0.0,0.03057625,6.714213769
2018-02-27,0.0,0.02997,6.714213769,0.0,0.0,0.03027375,6.714213769
