date,predicted_runoff_mm,flood_label,zone_id,zone_name,,,,
02-09-2021,0.12217068,0,1,zone_01,,,,
02-09-2021,0.12217068,0,2,zone_02,,,,
02-09-2021,0.12217068,0,3,zone_03,,,,
02-09-2021,0.12217068,0,4,zone_04,,,,
02-09-2021,0.12217068,0,5,zone_05,,,,
02-09-2021,0.12217068,0,6,zone_06,,,,
02-09-2021,0.12217068,0,7,zone_07,,,,
02-09-2021,0.12217068,0,8,zone_08,,,,
02-09-2021,0.12217068,0,9,zone_09,,,,
02-09-2021,0.12217068,0,10,zone_10,,,,
02-09-2021,0.12217068,0,11,zone_11,,,,
02-09-2021,0.12217068,0,12,zone_12,,,,
02-09-2021,0.12217068,0,13,zone_13,,,,
02-09-2021,0.12217068,0,14,zone_14,,,,
02-09-2021,0.12217068,0,15,zone_15,,,,
02-09-2021,0.12217068,0,16,zone_16,,,,
03-09-2021,0.14145808,0,1,zone_01,,,,
03-09-2021,0.14145808,0,2,zone_02,,,,
03-09-2021,0.14145808,0,3,zone_03,,,,
03-09-2021,0.14145808,0,4,zone_04,,,,
03-09-2021,0.14145808,0,5,zone_05,,,,
03-09-2021,0.14145808,0,6,zone_06,,,,
03-09-2021,0.14145808,0,7,zone_07,,,,
03-09-2021,0.14145808,0,8,zone_08,,,,
03-09-2021,0.14145808,0,9,zone_09,,,,
03-09-2021,0.14145808,0,10,zone_10,,,,
03-09-2021,0.14145808,0,11,zone_11,,,,
03-09-2021,0.14145808,0,12,zone_12,,,,
03-09-2021,0.14145808,0,13,zone_13,,,,
03-09-2021,0.14145808,0,14,zone_14,,,,
03-09-2021,0.14145808,0,15,zone_15,,,,
03-09-2021,0.14145808,0,16,zone_16,,,,
04-09-2021,0.16337122,0,1,zone_01,,,,
04-09-2021,0.16337122,0,2,zone_02,,,,
04-09-2021,0.16337122,0,3,zone_03,,,,
04-09-2021,0.16337122,0,4,zone_04,,,,
04-09-2021,0.16337122,0,5,zone_05,,,,
04-09-2021,0.16337122,0,6,zone_06,,,,
04-09-2021,0.16337122,0,7,zone_07,,,,
04-09-2021,0.16337122,0,8,zone_08,,,,
04-09-2021,0.16337122,0,9,zone_09,,,,
04-09-2021,0.16337122,0,10,zone_10,,,,
04-09-2021,0.16337122,0,11,zone_11,,,,
04-09-2021,0.16337122,0,12,zone_12,,,,
04-09-2021,0.16337122,0,13,zone_13,,,,
04-09-2021,0.16337122,0,14,zone_14,,,,
04-09-2021,0.16337122,0,15,zone_15,,,,
04-09-2021,0.16337122,0,16,zone_16,,,,
05-09-2021,0.17899504,0,1,zone_01,,,,
05-09-2021,0.17899504,0,2,zone_02,,,,
05-09-2021,0.17899504,0,3,zone_03,,,,
05-09-2021,0.17899504,0,4,zone_04,,,,
05-09-2021,0.17899504,0,5,zone_05,,,,
05-09-2021,0.17899504,0,6,zone_06,,,,
05-09-2021,0.17899504,0,7,zone_07,,,,
05-09-2021,0.17899504,0,8,zone_08,,,,
05-09-2021,0.17899504,0,9,zone_09,,,,
05-09-2021,0.17899504,0,10,zone_10,,,,
05-09-2021,0.17899504,0,11,zone_11,,,,
05-09-2021,0.17899504,0,12,zone_12,,,,
05-09-2021,0.17899504,0,13,zone_13,,,,
05-09-2021,0.17899504,0,14,zone_14,,,,
05-09-2021,0.17899504,0,15,zone_15,,,,
05-09-2021,0.17899504,0,16,zone_16,,,,
06-09-2021,0.18365918,0,1,zone_01,,,,
06-09-2021,0.18365918,0,2,zone_02,,,,
06-09-2021,0.18365918,0,3,zone_03,,,,
06-09-2021,0.18365918,0,4,zone_04,,,,
06-09-2021,0.18365918,0,5,zone_05,,,,
06-09-2021,0.18365918,0,6,zone_06,,,,
06-09-2021,0.18365918,0,7,zone_07,,,,
06-09-2021,0.18365918,0,8,zone_08,,,,
06-09-2021,0.18365918,0,9,zone_09,,,,
06-09-2021,0.18365918,0,10,zone_10,,,,
06-09-2021,0.18365918,0,11,zone_11,,,,
06-09-2021,0.18365918,0,12,zone_12,,,,
06-09-2021,0.18365918,0,13,zone_13,,,,
06-09-2021,0.18365918,0,14,zone_14,,,,
06-09-2021,0.18365918,0,15,zone_15,,,,
06-09-2021,0.18365918,0,16,zone_16,,,,
07-09-2021,0.17525657,0,1,zone_01,,,,
07-09-2021,0.17525657,0,2,zone_02,,,,
07-09-2021,0.17525657,0,3,zone_03,,,,
07-09-2021,0.17525657,0,4,zone_04,,,,
07-09-2021,0.17525657,0,5,zone_05,,,,
07-09-2021,0.17525657,0,6,zone_06,,,,
07-09-2021,0.17525657,0,7,zone_07,,,,
07-09-2021,0.17525657,0,8,zone_08,,,,
07-09-2021,0.17525657,0,9,zone_09,,,,
07-09-2021,0.17525657,0,10,zone_10,,,,
07-09-2021,0.17525657,0,11,zone_11,,,,
07-09-2021,0.17525657,0,12,zone_12,,,,
