zone_id,date,rainfall_mm,soil_moisture,hf_mean,runoff_mm,hand_norm,vulnerability,flood_risk_index,flood_label
1,20210902,7.02,0.73,0.870888378598004,5.124599999999999,0.8037741355955433,0.19622586440445666,1.0055790647270784,0
1,20210903,8.8,0.73,0.870888378598004,6.424,0.8037741355955433,0.19622586440445666,1.2605549529342297,0
1,20210904,12.16,0.74,0.870888378598004,8.9984,0.8037741355955433,0.19622586440445666,1.765718818257063,0
1,20210905,7.22,0.75,0.870888378598004,5.415,0.8037741355955433,0.19622586440445666,1.0625630557501329,0
1,20210906,6.91,0.75,0.870888378598004,5.1825,0.8037741355955433,0.19622586440445666,1.0169405422760966,0
1,20210907,0.43,0.75,0.870888378598004,0.3225,0.8037741355955433,0.19622586440445666,0.06328284127043728,0
1,20210908,0.06,0.74,0.870888378598004,0.044399999999999995,0.8037741355955433,0.19622586440445666,0.008712428379557874,0
1,20210909,0.15,0.74,0.870888378598004,0.111,0.8037741355955433,0.19622586440445666,0.021781070948894688,0
1,20210910,0.53,0.73,0.870888378598004,0.3869,0.8037741355955433,0.19622586440445666,0.0759197869380843,0
1,20210911,0.06,0.73,0.870888378598004,0.0438,0.8037741355955433,0.19622586440445666,0.008594692860915201,0
1,20210912,0.17,0.72,0.870888378598004,0.12240000000000001,0.8037741355955433,0.19622586440445666,0.024018045803105497,0
1,20210913,0.05,0.72,0.870888378598004,0.036,0.8037741355955433,0.19622586440445666,0.00706413111856044,0
1,20210914,0.04,0.71,0.870888378598004,0.028399999999999998,0.8037741355955433,0.19622586440445666,0.0055728145490865685,0
1,20210915,1.77,0.71,0.870888378598004,1.2567,0.8037741355955433,0.19622586440445666,0.24659704379708067,0
1,20210916,2.6,0.71,0.870888378598004,1.8459999999999999,0.8037741355955433,0.19622586440445666,0.362232945690627,0
1,20210917,1.42,0.71,0.870888378598004,1.0082,0.8037741355955433,0.19622586440445666,0.1978349164925732,0
1,20210918,5.01,0.71,0.870888378598004,3.5570999999999997,0.8037741355955433,0.19622586440445666,0.6979950222730927,0
1,20210919,6.04,0.71,0.870888378598004,4.2884,0.8037741355955433,0.19622586440445666,0.841494996912072,0
